soilhealthcard_conform.state,soilhealthcard_conform.district,soilhealthcard_conform.village,soilhealthcard_conform.soil_sample_id,soilhealthcard_conform.ph,soilhealthcard_conform.ec,soilhealthcard_conform.oc,soilhealthcard_conform.n,soilhealthcard_conform.p,soilhealthcard_conform.k,soilhealthcard_conform.s,soilhealthcard_conform.zn,soilhealthcard_conform.fe,soilhealthcard_conform.cu,soilhealthcard_conform.mn,soilhealthcard_conform.farm_lat,soilhealthcard_conform.farm_long,soilhealthcard_conform.collection_date,soilhealthcard_conform.units,soilhealthcard_conform.irrigation,soilhealthcard_conform.event_date
Haryana,Hisar,Siswal(174),HR60851/2016-17/23675461,7.6,0.86,0.35,,12,545,115.1,0.37,6.57,,3.15,,,02/11/15,,Rainfed,27/02/21
Haryana,Hisar,Siswal(174),HR60851/2016-17/23721507,7.7,,0.24,,17,700,117.3,0.28,6.12,,3.45,,,02/11/15,,Rainfed,27/02/21
Haryana,Hisar,Siswal(174),HR60851/2016-17/23862370,7.7,0.93,0.26,,2.5,532,70.08,0.38,7.55,,2.18,,,02/11/15,,Rainfed,27/02/21
Haryana,Hisar,Siswal(174),HR60851/2016-17/28120327,7.9,0.93,0.35,,7.1,545,65.2,0.25,3.32,,2.86,,,02/11/15,,Rainfed,27/02/21
Haryana,Hisar,Bad Chhapar (61),HR61108/2016-17/83936830,7.3,,0.32,,12.02,98.78,79.96,5.04,3.75,3.57,7.59,29.5803,76.17317,11/09/16,,Irrigated Tube well,27/02/21
Haryana,Hisar,Bad Chhapar (61),HR61108/2016-17/83938983,7.3,,0.32,,8.05,123.4,14.07,2.04,2.78,3.23,7.63,29.5803,76.17244,11/09/16,,Irrigated Tube well,27/02/21
Haryana,Hisar,Bad Chhapar (61),HR61108/2016-17/83939773,7.3,,0.42,,28.29,193.96,,5.65,11.29,6.9,20.58,29.5803,76.17043,11/09/16,,Irrigated Tube well,27/02/21
Haryana,Hisar,Bad Chhapar (61),HR61108/2016-17/83941747,7.4,0.19,0.45,,29.21,97.91,40.9,2.77,8.91,3.48,16.25,29.5803,76.1717,11/09/16,,Irrigated Tube well,27/02/21
Haryana,Hisar,Badala(102),HR61096/2016-17/83134459,7.9,,0.53,,17.4,120.28,,2.85,8.25,2.85,9.64,29.5803,76.3181,,,Irrigated Tube well,27/02/21
Haryana,Hisar,Badala(102),HR61096/2016-17/83134830,7.4,,0.42,,41.85,139.31,,3.96,29.98,3.6,10.24,29.5803,76.3181,,,Irrigated Tube well,27/02/21
Haryana,Hisar,Badala(102),HR61096/2016-17/83135138,7.4,,0.44,,4.79,88.64,60.67,1.68,2.97,2.25,3.21,29.5803,76.3181,,,Irrigated Tube well,27/02/21
Haryana,Hisar,Badala(102),HR61096/2016-17/83135473,7,,0.53,,20.02,127.19,,2.49,12.51,2.89,9.02,29.5803,76.3181,,,Irrigated Tube well,27/02/21
Haryana,Hisar,Badala(102),HR61096/2016-17/83135816,7.2,,0.5,,5.81,100.21,14.87,1.21,2.54,2.22,2.3,29.5803,76.3181,,,Irrigated Tube well,27/02/21
Haryana,Hisar,Badala(102),HR61096/2016-17/83136456,7.4,,0.48,,4.16,36.71,61.49,4.76,5.13,2.24,0.71,29.5803,76.3181,,,Irrigated Tube well,27/02/21
Haryana,Hisar,Badala(102),HR61096/2016-17/83137156,7.6,0.9,0.45,,1.65,44.59,30.25,3.32,3.48,2.32,1.04,29.5803,76.3181,,,Irrigated Tube well,27/02/21
Haryana,Hisar,Badala(102),HR61096/2018-19/133774689,7.4,0.27,0.28,,2.7,130,,0.78,4.59,0.98,10.94,29.289941,75.914459,09/05/18,,Irrigated Tube well,27/02/21
Haryana,Hisar,Badala(102),HR61096/2018-19/133783105,7.4,,0.21,,22.6,370,10.7,0.97,3.4,0.69,6.11,29.261596,75.929376,01/05/18,,Irrigated Tube well,27/02/21
Haryana,Hisar,Badala(102),HR61096/2018-19/133788378,7.3,,0.16,,1.9,365,88.6,1.32,3.55,0.32,8.43,29.215866,75.932515,01/05/18,,Irrigated Tube well,27/02/21
Haryana,Hisar,Badala(102),HR61096/2018-19/133794282,7.3,,0.19,,11.3,395,99.29,0.83,4.96,0.32,8.59,29.266111,75.924011,02/05/18,,Irrigated Tube well,27/02/21
Haryana,Hisar,Badala(102),HR61096/2018-19/133797805,7.6,0.53,0.16,,12.6,505,69.26,0.45,3.32,0.81,8.1,29.309045,75.988002,08/05/18,,Irrigated Tube well,27/02/21
